Policy No,Policy Sys Id,IDX,Amt,
P-4202-92-2026-00026,3608492,0,1.10,
P-2200-90-2026-00053,3608272,0,1.10,
P-4006-90-2026-00019,3608997,0,1.10,
P-1411-90-2026-00048,3608633,0,1.10,
P-2202-90-2026-00061,3609366,0,1.70,
P-2403-91-2026-00020,3609074,0,1.10,
P-1200-90-2026-00239,3609517,0,1.10,
P-9086-90-2026-00030,3609079,0,1.10,
P-4202-90-2026-00045,3608940,0,1.70,
P-4006-90-2026-00023,3609432,0,1.10,
P-4005-90-2026-00022,3608526,0,1.10,
P-4400-90-2026-00054,3608693,0,1.10,
P-4200-90-2026-00153,3608226,0,1.10,
P-2000-90-2026-00041,3608340,0,1.10,
P-4005-90-2026-00029,3609055,0,1.10,
P-4202-90-2026-00038,3608185,0,1.70,
P-2403-90-2026-00062,3609451,0,1.10,
P-2200-90-2026-00061,3608942,0,1.10,
P-3211-90-2026-00071,3609101,0,1.10,
P-3800-90-2026-00113,3609107,0,1.10,
P-2400-90-2026-00304,3608233,0,1.10,
P-4200-90-2026-00192,3609265,0,1.10,
P-2400-90-2026-00340,3608807,0,1.10,
P-2403-90-2026-00045,3608181,0,1.10,
P-2400-90-2026-00338,3608790,0,1.10,
P-8065-97-2026-00001,3602610,0,3.30,
P-2301-92-2026-00031,3609088,0,1.10,
P-3800-90-2026-00089,3608140,0,1.10,
P-2405-90-2026-00012,3608325,0,1.10,
P-3211-90-2026-00070,3609094,0,1.10,
P-8000-91-2026-00024,3608158,0,1.10,
P-2202-90-2026-00054,3608763,0,1.70,
P-2403-90-2026-00051,3608548,0,1.10,
P-1488-91-2026-00052,3608775,0,1.10,
P-2400-90-2026-00351,3608885,0,1.10,
P-3800-90-2026-00099,3608674,0,1.10,
P-2202-90-2026-00064,3609458,0,1.10,
P-3200-90-2026-00370,3609489,0,1.10,
P-1200-90-2026-00177,3608382,0,1.10,
P-1411-90-2026-00057,3608977,0,1.10,
P-3400-91-2026-00002,3609240,0,1.10,
P-1400-90-2026-00016,3608866,0,1.70,
P-4203-90-2026-00030,3608410,0,1.10,
P-2400-90-2026-00357,3609013,0,1.10,
P-9061-91-2025-06312,3607909,0,1.10,
P-4000-90-2026-00121,3608357,0,1.10,
P-2202-90-2026-00055,3608764,0,1.10,
P-3800-90-2026-00123,3609316,0,1.10,
P-2403-90-2026-00061,3609450,0,1.10,
P-1200-90-2026-00170,3608192,0,1.10,
P-2604-90-2026-00019,3608766,0,1.10,
P-2202-90-2026-00053,3608553,0,1.10,
P-4000-90-2026-00164,3609249,0,1.10,
P-8043-98-2026-00002,3605996,0,355.30,
P-2600-90-2026-00035,3608146,0,1.10,
P-9086-91-2026-00010,3608903,0,1.10,
P-3200-90-2026-00296,3608607,0,1.10,
P-8072-90-2026-00010,3609518,0,1.10,
P-2408-90-2026-00040,3608150,0,1.10,
P-3205-90-2026-00024,3608688,0,1.10,
P-1477-90-2026-00021,3608989,0,1.10,
P-2604-90-2026-00018,3608692,0,1.10,
P-2600-90-2026-00040,3608711,0,1.10,
P-3603-90-2026-00015,3608557,0,1.10,
P-1200-90-2026-00188,3608608,0,1.10,
P-1200-90-2026-00174,3608251,0,1.10,
P-2202-90-2026-00048,3608417,0,1.10,
P-1488-90-2026-00049,3609110,0,1.10,
P-3600-90-2026-00085,3609250,0,1.70,
P-1400-90-2026-00007,3608125,0,1.10,
P-2403-90-2026-00050,3608389,0,1.10,
P-9093-90-2026-00004,3608119,0,1.10,
P-4005-90-2026-00028,3608962,0,1.10,
P-2400-90-2026-00299,3608149,0,1.10,
P-1411-90-2026-00070,3609516,0,1.10,
P-2400-90-2026-00359,3609019,0,1.10,
P-4000-90-2026-00131,3608550,0,1.10,
P-1200-90-2026-00171,3608191,0,1.10,
P-9071-92-2026-00003,3609515,0,1.10,
P-9075-90-2026-00014,3608430,0,1.10,
P-1200-90-2026-00194,3608902,0,1.10,
P-2403-90-2026-00063,3609428,0,1.10,
P-9070-90-2026-00006,3608983,0,1.10,
P-1000-98-2026-00012,3607258,0,111.10,
P-1200-90-2026-00182,3608501,0,1.10,
P-4000-90-2026-00160,3609196,0,1.10,
P-3200-90-2026-00347,3609115,0,1.10,
P-1488-90-2026-00056,3609486,0,1.10,
P-3603-90-2026-00014,3608539,0,1.70,
P-3901-90-2026-00003,3608459,0,1.10,
P-4202-90-2026-00042,3608200,0,1.10,
P-1488-90-2026-00052,3609228,0,1.10,
P-4400-91-2026-00030,3608328,0,1.70,
P-9093-90-2026-00006,3609042,0,1.10,
P-1400-90-2026-00026,3609612,0,1.70,
P-1400-90-2026-00027,3609613,0,1.70,
P-1477-90-2026-00023,3609595,0,1.10,
P-1400-90-2026-00028,3609586,0,1.70,
P-2400-90-2026-00389,3609591,0,1.10,
P-9071-90-2026-00006,3609672,0,1.10,
P-2202-90-2026-00079,3609658,0,1.70,
P-2202-90-2026-00076,3609631,0,1.10,
P-3603-90-2026-00019,3609562,0,1.10,
P-2202-90-2026-00072,3609618,0,1.70,
P-4203-90-2026-00052,3609991,0,1.10,
P-9086-90-2026-00049,3610010,0,1.10,
P-3603-90-2026-00022,3609774,0,1.10,
P-9071-90-2026-00009,3610021,0,1.10,
P-4203-90-2026-00046,3609708,0,1.10,
P-2400-90-2026-00430,3609990,0,1.10,
P-2400-90-2026-00404,3609833,0,1.10,
P-2400-90-2026-00413,3609830,0,1.10,
P-2604-90-2026-00028,3609974,0,1.10,
P-4006-92-2026-00019,3609863,0,1.10,
P-1488-90-2026-00064,3609878,0,1.10,
P-4006-92-2026-00020,3609967,0,1.10,
P-2408-90-2026-00058,3609701,0,1.10,
P-2400-90-2026-00434,3610024,0,1.10,
P-2409-90-2026-00008,3609688,0,1.10,
P-1411-90-2026-00079,3609720,0,1.10,
P-1474-90-2026-00022,3609855,0,1.10,
P-3211-90-2026-00090,3609814,0,1.10,
P-9077-90-2026-00014,3609767,0,1.10,
P-3205-91-2026-00017,3609727,0,1.10,
P-2400-90-2026-00411,3609826,0,1.10,
